Source,Target,Weight,Type
SJR,ASL,1.18,excitatory
FZR,GE,1.93,excitatory
HYR,ZX,0.7,excitatory
ML,FU,1.96,excitatory
SD,UAR,1.16,excitatory
BRR,LM,1.94,excitatory
MLR,JGR,0.13,excitatory
MPR,EHL,0.69,excitatory
NV,KIR,1.59,excitatory
AG,SAR,0.51,excitatory
HFR,VUL,1.86,excitatory
WUR,ML,1.97,excitatory
CJ,VKR,1.23,excitatory
WB,UFR,0.36,excitatory
LIR,XEL,1.72,excitatory
CYR,VOL,0.79,excitatory
LEL,AI,1.25,excitatory
ZGL,YN,1.94,excitatory
YP,OKL,0.64,excitatory
RLR,FMR,0.38,excitatory
NV,VJL,0.35,excitatory
ZM,AXL,1.44,excitatory
IER,XEL,1.11,excitatory
CV,ZWL,0.94,excitatory
MDR,AIL,0.68,excitatory
WS,PV,0.24,excitatory
XEL,YP,1.6,excitatory
HI,FU,1.82,excitatory
UE,ML,0.74,excitatory
VI,NUL,0.31,excitatory
MVR,KOR,1.01,excitatory
CV,KIR,1.32,excitatory
LX,BE,0.72,excitatory
STL,OJR,1.11,excitatory
CX,XML,0.69,excitatory
YZL,UB,1.96,excitatory
JOR,KOR,1.83,excitatory
MDR,PYL,0.92,excitatory
JV,BX,0.62,excitatory
AS,XT,0.49,excitatory
ZGL,WIL,0.97,excitatory
ZUL,YUL,0.37,excitatory
VZR,AP,0.28,excitatory
FFR,EER,0.91,excitatory
AX,NUL,0.87,excitatory
CYR,OJR,1.61,excitatory
OCR,IRL,0.47,excitatory
DML,TF,1.88,excitatory
WIL,ZGL,1.75,excitatory
DF,UE,1.7,excitatory
DC,AKR,1.84,excitatory
XE,PZL,0.2,excitatory
AVR,DML,0.62,excitatory
IEL,DF,1.69,excitatory
RGR,DD,0.46,excitatory
DC,IJ,1.1,excitatory
MF,AG,1.51,excitatory
OT,OJR,1.57,excitatory
IJ,ZGL,1.1,excitatory
YUL,BKL,0.47,excitatory
HDL,FU,1.44,excitatory
AVR,HFR,1.48,excitatory
IYL,PZL,1.61,excitatory
WL,ZUL,0.34,excitatory
FFR,ZR,0.81,excitatory
HER,ESR,1.77,excitatory
PJL,DU,0.77,excitatory
VC,BWR,1.05,excitatory
ASL,ZUL,0.63,excitatory
TBR,TJ,0.65,excitatory
UFR,TLR,1.58,excitatory
GML,JGR,0.67,excitatory
VOL,UKR,1.32,excitatory
KOR,DF,1.49,excitatory
VZR,WF,0.33,excitatory
ECL,EUR,1.28,excitatory
OJR,JJR,0.46,excitatory
YPL,MOL,0.35,excitatory
ZZR,WB,1.06,excitatory
GML,ZYR,0.28,excitatory
GSR,HLL,1.29,excitatory
CIL,GE,1.9,excitatory
GML,WS,0.17,excitatory
LXR,DUL,1.03,excitatory
ISL,TL,0.8,excitatory
VC,ASL,1.66,excitatory
AG,HDL,1.43,excitatory
WUR,BBR,1.4,excitatory
JGR,GBL,1.95,excitatory
YUL,RSR,0.24,excitatory
NXL,XML,1.23,excitatory
UFR,AG,0.99,excitatory
JR,TJ,1.35,excitatory
ASL,SAR,0.5,excitatory
MVR,YTR,2.0,excitatory
ENR,KG,0.75,excitatory
HA,BE,1.1,excitatory
NCR,BRL,1.76,excitatory
IRL,HI,0.91,excitatory
XV,AS,1.46,excitatory
ML,HHR,1.92,excitatory
FMR,MZL,1.51,excitatory
WJ,GU,1.32,excitatory
VUL,IVL,0.12,excitatory
JO,NXL,0.69,excitatory
BE,MCL,1.17,excitatory
AG,ZM,0.36,excitatory
MF,XT,1.99,excitatory
FKR,TJ,1.89,excitatory
CJ,EGL,0.95,excitatory
IYL,WAL,1.71,excitatory
RSR,TLR,0.36,excitatory
GUL,VJL,1.31,excitatory
MDR,UP,0.84,excitatory
HSR,GIL,1.27,excitatory
FN,FH,1.18,excitatory
OHR,IO,1.93,excitatory
IX,HHR,0.18,excitatory
WGL,IX,1.18,excitatory
BA,XML,1.1,excitatory
BRL,EZL,1.76,excitatory
SAR,WIL,1.9,excitatory
DUL,ZZR,1.53,excitatory
IVL,MZ,0.57,excitatory
ZBL,KAL,0.61,excitatory
JV,EZL,0.52,excitatory
WIL,HRR,0.95,excitatory
DD,WF,0.9,excitatory
LB,WFR,1.52,excitatory
HYR,TIR,1.05,excitatory
MOL,JOR,1.2,excitatory
JH,GZL,1.05,excitatory
GE,HA,0.84,excitatory
TOL,XNR,1.55,excitatory
WJL,GYL,1.37,excitatory
PJR,XMR,1.56,excitatory
LX,BKL,1.24,excitatory
RGR,JMR,0.92,excitatory
WL,VUL,1.06,excitatory
JR,DRR,0.62,excitatory
VZ,WPR,0.68,excitatory
MR,SE,0.21,excitatory
BRL,XMR,0.22,excitatory
EM,FU,0.56,excitatory
AI,PIL,1.81,excitatory
ES,JR,1.59,excitatory
KS,BRL,1.62,excitatory
WF,IEL,1.52,excitatory
YTL,WUR,0.6,excitatory
DML,JR,1.07,excitatory
NKL,JO,1.93,excitatory
ESR,GSR,1.13,excitatory
HDL,YP,1.27,excitatory
DRL,OJR,0.76,excitatory
UE,IJ,1.49,excitatory
SJR,FH,1.4,excitatory
MP,FMR,1.72,excitatory
TBR,AXL,1.98,excitatory
WJL,FU,0.38,excitatory
GCR,LX,0.45,excitatory
GIL,HLL,1.56,excitatory
UVL,WSL,1.8,excitatory
GEL,LEL,1.86,excitatory
GZ,VZR,1.98,excitatory
JH,ESR,1.96,excitatory
BD,JR,1.52,excitatory
JGR,FR,1.98,excitatory
HK,WSL,1.38,excitatory
IPL,SRR,1.14,excitatory
WFL,BBR,0.62,excitatory
MDR,NUL,1.48,excitatory
WPR,YPR,1.53,excitatory
CRL,GIL,1.44,excitatory
CBR,IO,0.97,excitatory
FO,LM,0.53,excitatory
TU,HU,1.49,excitatory
XV,RRR,0.98,excitatory
TL,IDR,0.38,excitatory
MXR,BRR,0.58,excitatory
TOR,JT,0.5,excitatory
ZWL,STL,1.54,excitatory
NT,GNR,0.14,excitatory
YPR,HDL,0.92,excitatory
WJ,GZ,0.57,excitatory
MVR,BE,0.12,excitatory
VC,KIR,1.27,excitatory
HK,XUR,0.64,excitatory
FR,WUR,1.67,excitatory
CV,IX,0.7,excitatory
GML,IER,0.42,excitatory
HN,KOR,1.66,excitatory
WH,KIR,1.99,excitatory
HR,GYL,1.06,excitatory
IJR,JT,1.65,excitatory
AI,EZL,0.5,excitatory
ML,SU,1.83,excitatory
HFR,DD,0.78,excitatory
ZZR,XNR,1.58,excitatory
CX,IX,0.97,excitatory
VKR,DF,0.6,excitatory
FVL,HYR,1.71,excitatory
GBL,SE,0.51,excitatory
BE,EER,1.7,excitatory
RLR,TJ,1.34,excitatory
KM,JGR,1.7,excitatory
YT,UFR,0.73,excitatory
MML,WSL,1.34,excitatory
BER,MZ,1.37,excitatory
LTR,JGR,1.65,excitatory
YTL,NI,0.56,excitatory
IRL,LB,1.5,excitatory
MR,RRR,0.6,excitatory
GZ,FVL,0.3,excitatory
LX,ML,1.87,excitatory
MDR,AKR,1.38,excitatory
ZWL,UG,1.66,excitatory
WOL,PIL,0.68,excitatory
TF,ZUL,1.03,excitatory
WSL,CIL,0.9,excitatory
GZ,XV,0.44,excitatory
GZL,ENR,1.2,excitatory
YPR,XL,1.31,excitatory
FKR,IPL,0.18,excitatory
ZT,EGL,0.12,excitatory
LEL,DML,1.77,excitatory
PPR,MDR,1.96,excitatory
JGR,JJR,0.56,excitatory
EUR,ZM,1.36,excitatory
GF,ISL,0.81,excitatory
WPR,YT,0.67,excitatory
DD,OKL,1.71,excitatory
ESR,UKR,0.45,excitatory
CDR,LUR,1.61,excitatory
PO,KRR,0.33,excitatory
LXR,GD,0.91,excitatory
FKR,DRL,0.22,excitatory
RRR,KIR,1.39,excitatory
GSR,WFL,0.33,excitatory
ZR,FFR,0.12,excitatory
BRL,BRR,1.48,excitatory
DF,UG,0.73,excitatory
FR,GF,0.91,excitatory
MP,SE,0.3,excitatory
JH,FO,0.39,excitatory
WSL,RGR,1.66,excitatory
NXL,WH,0.28,excitatory
YDR,GU,1.12,excitatory
LXR,GER,1.31,excitatory
CZL,TJ,1.83,excitatory
FMR,GZL,1.14,excitatory
MML,IX,1.65,excitatory
VC,BER,1.05,excitatory
WF,LX,1.31,excitatory
OJL,VC,1.91,excitatory
HRR,EDR,1.58,excitatory
IDR,EGL,1.69,excitatory
EGL,IRL,1.73,excitatory
SJR,GHL,1.49,excitatory
JOR,UOL,1.53,excitatory
FFR,RLR,1.02,excitatory
YP,GYL,1.21,excitatory
WDR,ENR,0.71,excitatory
FJR,ESR,0.86,excitatory
XI,VW,0.14,excitatory
ASL,UP,0.12,excitatory
DGL,UFR,1.62,excitatory
HA,HU,1.41,excitatory
HJ,VF,1.37,excitatory
STL,JOR,0.83,excitatory
HA,WB,1.04,excitatory
PZL,VJL,0.6,excitatory
XJ,PSR,1.11,excitatory
BE,JO,0.88,excitatory
SSL,YT,1.71,excitatory
NUL,WPR,1.89,excitatory
BRL,IO,0.85,excitatory
ZBL,PO,1.68,excitatory
SD,BA,1.63,excitatory
RRR,CNR,1.05,excitatory
DFL,JJR,1.06,excitatory
YBL,HN,0.68,excitatory
FUL,FFR,0.94,excitatory
BA,ZR,0.97,excitatory
GJL,UB,1.53,excitatory
FZR,FFR,1.82,excitatory
FVR,BX,1.4,excitatory
JO,FKR,1.85,excitatory
PYL,UB,1.18,excitatory
WFR,WS,0.28,excitatory
SRR,HYR,1.77,excitatory
FKR,GBL,1.75,excitatory
JOR,AI,1.53,excitatory
MF,FU,0.52,excitatory
SSL,ZYR,1.7,excitatory
FO,MF,1.39,excitatory
AIL,VUL,1.91,excitatory
OJL,HYR,0.37,excitatory
YDR,AS,1.14,excitatory
XT,GZ,0.25,excitatory
GZ,WFL,0.29,excitatory
TBR,WJL,0.15,excitatory
WFL,JRR,0.13,excitatory
BA,IPL,1.89,excitatory
LX,AXL,1.6,excitatory
HFR,WF,0.34,excitatory
ZYR,IEL,1.75,excitatory
WFL,ZWL,1.1,excitatory
CX,JRR,1.57,excitatory
ISL,WH,1.13,excitatory
MDR,WP,1.3,excitatory
CDR,WI,1.93,excitatory
VZ,FO,0.52,excitatory
KG,IEL,1.74,excitatory
GD,OKL,0.37,excitatory
JOR,WUR,0.97,excitatory
UFR,LM,0.16,excitatory
VI,FA,1.3,excitatory
TOR,SRR,0.97,excitatory
IDR,BPR,1.98,excitatory
NT,IDR,0.95,excitatory
MZL,WP,1.31,excitatory
UAR,SE,1.56,excitatory
MVR,VZR,1.16,excitatory
MY,CZL,0.69,excitatory
DU,OOL,1.47,excitatory
OOL,BKL,0.99,excitatory
GSR,OJR,0.15,excitatory
UP,WP,0.46,excitatory
ZCL,BDR,0.68,excitatory
FH,HFR,0.84,excitatory
GML,UB,0.72,excitatory
OKL,XL,1.59,excitatory
IAL,BER,0.63,excitatory
HA,ZJ,1.28,excitatory
XIR,OJL,0.89,excitatory
HYR,AVR,1.39,excitatory
DRR,AOL,0.81,excitatory
ZRR,MML,0.72,excitatory
CYR,MXR,0.95,excitatory
BA,PO,0.92,excitatory
DU,FUL,1.26,excitatory
AXL,SU,1.35,excitatory
WJL,HHR,0.6,excitatory
KRR,FMR,0.29,excitatory
NKL,CYR,1.3,excitatory
OJL,MML,0.33,excitatory
DF,SSL,1.86,excitatory
FH,OKL,1.68,excitatory
HW,GHL,1.85,excitatory
NW,KRR,1.39,excitatory
IJR,CRL,0.84,excitatory
VUL,CV,0.82,excitatory
AI,FZR,1.27,excitatory
GJL,WI,1.67,excitatory
VOL,AG,1.66,excitatory
LEL,GCR,1.16,excitatory
SSL,VUL,1.45,excitatory
VF,DY,0.19,excitatory
DVL,BWR,0.55,excitatory
SSL,TOR,0.44,excitatory
NT,WFL,0.3,excitatory
IEL,EDR,0.99,excitatory
ZM,OCR,1.94,excitatory
UE,XNR,1.21,excitatory
ZM,ZR,1.66,excitatory
ML,FA,1.86,excitatory
LAL,HJ,1.7,excitatory
TF,XL,0.77,excitatory
XHL,AXL,0.62,excitatory
AVR,LX,0.69,excitatory
TOR,SD,1.34,excitatory
MYR,ZJ,0.27,excitatory
ENR,XI,0.36,excitatory
WAL,JH,1.08,excitatory
JRR,LH,1.74,excitatory
HR,KOR,0.25,excitatory
CX,BA,1.07,excitatory
XHL,ZR,1.09,excitatory
WGL,PO,1.81,excitatory
RGR,SD,0.47,excitatory
RGR,HA,1.79,excitatory
VJL,FIL,0.22,excitatory
IDR,NXL,1.9,excitatory
SBL,LTR,1.38,excitatory
CJ,ASL,0.47,excitatory
UP,YP,0.64,excitatory
DVL,FMR,1.72,excitatory
RRR,XEL,0.59,excitatory
YPR,DU,1.96,excitatory
DUL,VOL,1.26,excitatory
DUL,DRR,0.56,excitatory
VUL,SRR,1.85,excitatory
CJ,YB,0.86,excitatory
ZYR,AIL,1.6,excitatory
JT,SAR,0.88,excitatory
FXL,EGL,1.68,excitatory
UAR,BD,0.49,excitatory
SJR,SE,0.94,excitatory
PO,HA,0.59,excitatory
TLR,KAL,1.6,excitatory
LH,FR,0.62,excitatory
BKL,XJ,1.27,excitatory
GE,XL,1.7,excitatory
IX,DUL,0.98,excitatory
XMR,TL,1.56,excitatory
BWR,XT,0.95,excitatory
ALL,XIR,0.59,excitatory
GJL,YPR,1.03,excitatory
GEL,ZR,1.11,excitatory
NKL,DRR,1.88,excitatory
JAL,WL,0.8,excitatory
GBL,JMR,1.48,excitatory
ASL,SU,0.64,excitatory
UKR,TIR,0.55,excitatory
YP,WSL,1.4,excitatory
RRR,FKR,0.26,excitatory
EM,DVR,0.47,excitatory
DRR,DRL,1.06,excitatory
WUR,ZBL,1.7,excitatory
FVL,KIR,1.13,excitatory
WOL,UKR,1.18,excitatory
DU,FH,0.94,excitatory
LUR,CZL,0.17,excitatory
PSR,FO,1.82,excitatory
ZWL,AVR,1.72,excitatory
MXR,OCR,0.79,excitatory
TIR,HK,0.63,excitatory
XNR,TL,1.7,excitatory
JRR,HSR,1.11,excitatory
PZL,RRR,1.15,excitatory
TFR,CNR,1.28,excitatory
IDR,GJL,0.64,excitatory
SD,PSR,1.11,excitatory
YUL,GE,0.67,excitatory
AE,ES,1.73,excitatory
ZX,ISL,1.66,excitatory
LB,FJR,0.69,excitatory
JO,XIR,0.32,excitatory
BPR,WFR,0.84,excitatory
KS,GBL,1.84,excitatory
VKR,DD,1.44,excitatory
ESR,PM,0.73,excitatory
LO,SU,0.13,excitatory
BRL,XJ,0.53,excitatory
UAR,UG,0.76,excitatory
CX,MZ,1.13,excitatory
TLR,LO,1.94,excitatory
JR,FH,0.32,excitatory
DVL,XL,0.88,excitatory
ALL,GF,1.73,excitatory
LX,YP,0.94,excitatory
UKR,GZ,1.04,excitatory
UOL,JMR,1.65,excitatory
YTL,MXR,0.49,excitatory
IVL,NT,1.34,excitatory
UT,SBL,0.25,excitatory
CZL,LK,0.29,excitatory
NO,LTR,0.64,excitatory
FFR,HDL,1.02,excitatory
GNR,BE,1.28,excitatory
ZM,IYL,1.95,excitatory
HFR,DGL,1.18,excitatory
KIR,AIL,0.64,excitatory
FO,DY,1.15,excitatory
DUL,AX,1.06,excitatory
WPR,RHR,0.34,excitatory
AG,IX,0.56,excitatory
UG,IVL,0.64,excitatory
HU,UAR,0.55,excitatory
RLR,WDR,1.98,excitatory
TU,GD,1.85,excitatory
YP,IPL,1.67,excitatory
SAR,UOL,0.85,excitatory
XV,CBR,0.62,excitatory
CYR,VZR,1.18,excitatory
TOR,DC,1.61,excitatory
SSL,SAR,1.61,excitatory
CDR,WIL,1.94,excitatory
ML,VF,1.94,excitatory
ES,ISL,0.23,excitatory
RGR,FMR,1.98,excitatory
AE,ESR,0.61,excitatory
FZR,GJL,0.72,excitatory
NO,GF,0.68,excitatory
GYL,JJR,0.26,excitatory
CZL,FFR,1.27,excitatory
MOL,XMR,0.39,excitatory
PJL,BE,0.41,excitatory
NT,ZX,0.35,excitatory
YT,ECL,1.38,excitatory
VJL,BE,1.88,excitatory
GJL,JJR,0.86,excitatory
BBR,FO,0.62,excitatory
VZR,OJR,0.7,excitatory
BE,MP,1.5,excitatory
TJ,JR,0.9,excitatory
IJ,RSR,0.69,excitatory
AP,NO,0.62,excitatory
SU,GML,0.52,excitatory
OJL,CX,1.29,excitatory
JRR,PYL,1.04,excitatory
MY,HK,0.19,excitatory
RLR,JAL,0.78,excitatory
LO,MZL,0.66,excitatory
FVL,TF,1.4,excitatory
DC,DD,0.18,excitatory
FMR,BRR,0.9,excitatory
DVR,KM,0.59,excitatory
WH,PM,1.0,excitatory
SD,UG,1.12,excitatory
IO,WAL,1.65,excitatory
JT,HSR,1.81,excitatory
PZL,GJL,1.72,excitatory
ASL,RHR,1.17,excitatory
DI,FH,1.71,excitatory
MVR,HYR,1.25,excitatory
CNR,CX,0.74,excitatory
MML,MVR,1.84,excitatory
WPR,DFL,1.5,excitatory
EM,GJL,0.43,excitatory
RLR,RGR,0.32,excitatory
GD,FH,1.1,excitatory
PIL,ZRR,1.38,excitatory
AX,WLR,0.4,excitatory
IRL,WH,0.37,excitatory
ISL,HYR,1.53,excitatory
EDR,RHR,1.01,excitatory
CBR,SAR,1.7,excitatory
SD,WP,0.96,excitatory
WFL,JRR,1.9,excitatory
HHR,TL,1.12,excitatory
SJR,XJ,0.57,excitatory
TOR,YDR,0.18,excitatory
IAL,MF,0.16,excitatory
RLR,ZM,1.9,excitatory
UKR,NO,0.79,excitatory
KAL,ENR,1.99,excitatory
ECL,DFL,1.95,excitatory
GIL,UE,0.2,excitatory
VZ,RRR,1.83,excitatory
MOL,LK,1.98,excitatory
CIL,PO,0.97,excitatory
NO,HHR,0.14,excitatory
FMR,BA,0.19,excitatory
MYR,JRR,0.79,excitatory
OJL,YBL,1.46,excitatory
YPL,AG,1.0,excitatory
DUL,DI,0.8,excitatory
BTR,PM,0.18,excitatory
LUR,DVL,0.46,excitatory
ENR,GML,1.47,excitatory
MCL,LH,0.93,excitatory
EGL,PIL,1.68,excitatory
PYL,HYR,1.19,excitatory
BBR,TFR,1.62,excitatory
JJR,MP,0.21,excitatory
LM,ZUL,1.98,excitatory
XMR,TF,0.16,excitatory
JH,PV,0.87,excitatory
PPR,MY,0.42,excitatory
HU,PM,0.99,excitatory
WJ,KG,0.82,excitatory
LX,LK,1.79,excitatory
VF,VOL,0.32,excitatory
WOL,UP,1.79,excitatory
XHL,ES,0.99,excitatory
ENR,NKL,1.27,excitatory
NV,YB,1.49,excitatory
ENR,IX,0.18,excitatory
ZR,FO,1.73,excitatory
BPR,ZUL,0.33,excitatory
EER,BE,1.5,excitatory
VAL,XMR,0.65,excitatory
RSR,OT,1.91,excitatory
IER,CYR,1.76,excitatory
IER,JO,0.82,excitatory
TF,FZR,0.86,excitatory
CRL,GZ,1.49,excitatory
YPR,HFR,1.76,excitatory
MY,GZL,1.63,excitatory
DY,AI,1.37,excitatory
MF,MP,0.59,excitatory
WJ,GML,0.63,excitatory
VC,DGL,1.57,excitatory
PPR,UAR,1.1,excitatory
SE,VZR,0.88,excitatory
VKR,AX,1.98,excitatory
CX,KAL,0.74,excitatory
VAL,ENR,1.35,excitatory
NO,CNR,1.26,excitatory
WDL,YPR,1.04,excitatory
AIL,OT,1.38,excitatory
YN,UG,0.92,excitatory
DC,ECL,1.02,excitatory
DRR,DI,0.58,excitatory
HU,ASL,1.81,excitatory
LIR,TBR,1.7,excitatory
PM,VUL,1.95,excitatory
MPR,TLR,1.44,excitatory
GUL,GCR,1.89,excitatory
BE,BA,0.96,excitatory
SAR,SD,1.38,excitatory
TOL,BWR,1.42,excitatory
UG,MZ,1.57,excitatory
BER,ZZR,1.46,excitatory
MP,WOL,1.44,excitatory
NKL,DU,1.97,excitatory
MPR,DUL,0.13,excitatory
RLR,BDR,1.12,excitatory
BER,ECL,1.66,excitatory
PO,MZL,0.43,excitatory
MDR,MVR,1.54,excitatory
NPR,SSL,1.2,excitatory
WI,GSR,1.44,excitatory
TLR,SRR,0.49,excitatory
UT,VAL,0.43,excitatory
NW,JJR,1.55,excitatory
PSR,VW,0.56,excitatory
GML,FMR,1.05,excitatory
DGL,XEL,1.23,excitatory
WDL,MVR,1.61,excitatory
RSR,PZL,1.02,excitatory
JOR,UP,1.47,excitatory
GML,IDR,0.77,excitatory
LTR,MF,0.31,excitatory
TBR,LUR,0.88,excitatory
FUL,FA,1.36,excitatory
GCR,VI,0.3,excitatory
GU,WGL,0.99,excitatory
BWR,FA,1.37,excitatory
CRL,FUL,1.11,excitatory
GNR,HFR,1.46,excitatory
WGL,BRR,0.9,excitatory
OJL,DI,0.92,excitatory
IDR,NXL,0.71,excitatory
PJR,CIL,1.89,excitatory
WFL,SD,0.45,excitatory
GHL,JV,0.66,excitatory
KG,GSR,1.67,excitatory
XL,UP,0.42,excitatory
TFR,YT,0.14,excitatory
FVL,WP,0.76,excitatory
MXR,CRL,0.61,excitatory
GNR,XHL,1.49,excitatory
TLR,EUR,0.14,excitatory
KG,HLL,1.71,excitatory
DRL,JO,0.35,excitatory
HHR,DF,1.56,excitatory
PYL,FO,0.5,excitatory
EGL,LK,0.83,excitatory
RRR,SJR,0.93,excitatory
KG,PJL,1.61,excitatory
DML,ZCL,1.28,excitatory
XML,WFR,1.66,excitatory
FUL,HK,1.54,excitatory
IX,EDR,0.17,excitatory
BWR,WF,1.7,excitatory
BA,PIL,0.86,excitatory
NO,DD,0.62,excitatory
EGL,CYR,0.65,excitatory
VC,GE,1.34,excitatory
AX,CRL,0.26,excitatory
XNR,MVR,0.7,excitatory
YB,YP,0.79,excitatory
RLR,XEL,0.68,excitatory
NKL,HLL,1.23,excitatory
NV,NUL,0.15,excitatory
WOL,PJR,0.13,excitatory
VJL,TBR,1.7,excitatory
CIL,GE,0.75,excitatory
JR,FN,0.22,excitatory
ALL,GIL,0.93,excitatory
GIL,IAL,0.45,excitatory
WL,PYL,1.16,excitatory
OJR,NW,1.14,excitatory
IO,MR,1.5,excitatory
FZR,WOL,0.23,excitatory
KOR,RRR,1.37,excitatory
VF,ESR,0.24,excitatory
BKL,DML,1.54,excitatory
CV,ZJ,0.36,excitatory
MOL,ESR,0.71,excitatory
ECL,CZL,1.09,excitatory
NUL,GNR,0.22,excitatory
MZ,LXR,1.47,excitatory
FVL,RRR,1.67,excitatory
PIL,TOR,0.39,excitatory
AI,MP,0.26,excitatory
FH,VW,0.23,excitatory
WLR,GEL,0.88,excitatory
HFR,FVR,1.52,excitatory
BTR,RGR,0.75,excitatory
ZT,FJR,1.31,excitatory
HN,FA,0.37,excitatory
MZ,VI,1.14,excitatory
FMR,VZ,0.64,excitatory
WJL,VZR,0.5,excitatory
HA,LAL,0.5,excitatory
IX,DY,1.66,excitatory
FVL,FUL,1.52,excitatory
UKR,DML,0.98,excitatory
FUL,SAR,0.32,excitatory
SRR,ZM,1.08,excitatory
HJ,VC,1.53,excitatory
ASL,AI,1.15,excitatory
SAR,YTR,1.13,excitatory
TOR,JR,0.57,excitatory
MLR,TJ,0.15,excitatory
ZX,NPR,0.77,excitatory
VKR,ECL,0.12,excitatory
DY,NO,1.81,excitatory
CZL,ZZR,0.52,excitatory
YPL,ES,0.57,excitatory
ESR,FH,1.28,excitatory
GYL,UFR,0.58,excitatory
EDR,YPR,1.85,excitatory
PM,HN,0.96,excitatory
WB,KM,0.15,excitatory
BE,CV,0.77,excitatory
LO,VC,0.33,excitatory
AVR,ZWL,0.3,excitatory
OKL,WLR,1.15,excitatory
OJR,AOL,1.31,excitatory
BE,MP,1.11,excitatory
ESR,JR,1.93,excitatory
AI,UB,0.36,excitatory
RGR,SBL,1.43,excitatory
ENR,IX,1.8,excitatory
NUL,LIR,1.45,excitatory
ECL,ZYR,0.31,excitatory
RGR,ESR,0.79,excitatory
ZUL,RHR,0.45,excitatory
XL,NI,0.33,excitatory
YDR,PJR,1.11,excitatory
VZR,LB,1.34,excitatory
SD,YN,0.59,excitatory
WPR,HDL,1.33,excitatory
STL,WF,0.83,excitatory
WFL,CV,0.12,excitatory
MY,BX,0.45,excitatory
AKR,EDR,0.99,excitatory
HER,TF,1.61,excitatory
VAL,AOL,1.24,excitatory
HLL,IJR,1.55,excitatory
FR,WH,1.88,excitatory
XEL,ZM,1.79,excitatory
GHL,RLR,1.9,excitatory
NUL,JRR,1.09,excitatory
UE,HA,0.19,excitatory
AS,BTR,1.47,excitatory
AG,LX,1.76,excitatory
BRR,ZZR,0.3,excitatory
WP,ZUL,0.74,excitatory
WF,LTR,0.46,excitatory
YPL,OCR,0.57,excitatory
OJL,EHL,0.87,excitatory
HER,GML,1.5,excitatory
HK,WSL,0.11,excitatory
DGL,FN,1.08,excitatory
TIR,CDR,0.5,excitatory
YDR,MR,1.96,excitatory
WPR,LAL,1.78,excitatory
CV,NUL,0.29,excitatory
UB,IVL,1.16,excitatory
CV,RRR,0.81,excitatory
SE,VW,0.3,excitatory
ZT,XT,1.82,excitatory
ZZR,BPR,0.28,excitatory
GZ,HFR,0.71,excitatory
UKR,WSL,1.59,excitatory
AXL,CRL,0.65,excitatory
DU,HW,1.72,excitatory
SD,YTR,0.99,excitatory
ZM,RHR,0.62,excitatory
GF,YB,1.24,excitatory
RGR,MF,1.18,excitatory
MVR,RSR,1.04,excitatory
LX,NW,1.42,excitatory
BPR,GZ,1.34,excitatory
UAR,GBL,0.39,excitatory
AVR,DY,1.31,excitatory
KS,HHR,1.37,excitatory
WL,GZ,1.84,excitatory
SAR,IDR,1.4,excitatory
JO,GML,1.82,excitatory
FVR,AI,0.5,excitatory
GHL,FJR,1.63,excitatory
WAL,FR,0.2,excitatory
XHL,EDR,0.18,excitatory
HA,HRR,1.3,excitatory
JT,BWR,1.62,excitatory
WF,ZYR,1.85,excitatory
BE,PV,0.94,excitatory
DY,RSR,0.52,excitatory
YPL,SSL,0.85,excitatory
JH,ZRR,1.77,excitatory
UG,FVL,0.83,excitatory
FN,HW,1.04,excitatory
UVL,WUR,0.84,excitatory
MLR,FJR,0.25,excitatory
MZL,BRL,1.28,excitatory
TU,SD,0.92,excitatory
PIL,YUL,1.62,excitatory
OKL,AKR,0.15,excitatory
NKL,EGL,1.29,excitatory
WPR,GCR,1.98,excitatory
UFR,KAL,1.4,excitatory
AE,YZL,0.23,excitatory
HRR,DF,0.26,excitatory
CJ,MY,0.44,excitatory
NW,MYR,0.69,excitatory
NO,AG,0.5,excitatory
JMR,DGL,0.81,excitatory
IYL,FO,1.35,excitatory
YP,LIR,0.59,excitatory
MOL,OOL,1.12,excitatory
WJ,HN,0.28,excitatory
FUL,HA,0.86,excitatory
LAL,NXL,0.27,excitatory
FO,JRR,0.82,excitatory
AOL,CRL,1.68,excitatory
WLR,BWR,0.12,excitatory
BX,GEL,0.11,excitatory
UE,BPR,1.13,excitatory
NCR,WPR,0.16,excitatory
EZL,AP,1.52,excitatory
VAL,ES,0.85,excitatory
GJL,VC,1.37,excitatory
RRR,PJL,0.37,excitatory
YTR,GEL,1.38,excitatory
TL,JR,1.51,excitatory
MOL,KM,1.49,excitatory
VKR,LAL,1.1,excitatory
CIL,BX,1.33,excitatory
HJ,PJL,1.1,excitatory
WJL,UFR,1.72,excitatory
XUR,WF,1.01,excitatory
YDR,BTR,0.51,excitatory
BKL,MDR,0.19,excitatory
WFL,AOL,1.46,excitatory
KIR,AP,1.55,excitatory
ML,AS,0.32,excitatory
BBR,GHL,1.1,excitatory
VUL,DRR,1.79,excitatory
PIL,WFR,1.0,excitatory
FIL,SAR,0.7,excitatory
FH,YBL,1.57,excitatory
BTR,NPR,1.54,excitatory
GIL,YN,1.27,excitatory
WF,HHR,1.32,excitatory
YT,KIR,0.91,excitatory
YZL,MF,1.34,excitatory
JOR,OJR,0.43,excitatory
KAL,MLR,1.47,excitatory
VF,CNR,1.75,excitatory
PZL,FR,1.77,excitatory
IEL,EUR,1.26,excitatory
